text	label
PUSH x PUSH x MSTORE PUSH x PUSH x PUSH x PUSH x EXP DUP SLOAD DUP PUSH xff MUL NOT AND SWAP DUP ISZERO ISZERO MUL OR SWAP SSTORE POP CALLER PUSH x PUSH x PUSH x EXP DUP SLOAD DUP PUSH xffffffffffffffffffffffffffffffffffffffff MUL NOT AND SWAP DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND MUL OR SWAP SSTORE POP CALLER PUSH x PUSH x PUSH x EXP DUP SLOAD DUP PUSH xffffffffffffffffffffffffffffffffffffffff MUL NOT AND SWAP DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND MUL OR SWAP SSTORE POP PUSH x PUSH x SWAP SLOAD SWAP PUSH x EXP SWAP DIV PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH x PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH xbeccdfdaffadaafebfbe PUSH x MLOAD PUSH x MLOAD DUP SWAP SUB SWAP LOG PUSH x PUSH x SWAP SLOAD SWAP PUSH x EXP SWAP DIV PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH x PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH xdacbdebcbadccdedabacecca PUSH x MLOAD PUSH x MLOAD DUP SWAP SUB SWAP LOG PUSH xed DUP PUSH xaa PUSH x CODECOPY PUSH x RETURN EXIT BLOCK	1
EXIT BLOCK EXIT BLOCK	1
PUSH x PUSH x MSTORE PUSH x PUSH x PUSH x PUSH x EXP DUP SLOAD DUP PUSH xff MUL NOT AND SWAP DUP ISZERO ISZERO MUL OR SWAP SSTORE POP CALLVALUE DUP ISZERO PUSH xc JUMPI JUMPDEST POP PUSH x MLOAD PUSH xfd CODESIZE SUB DUP PUSH xfd DUP CODECOPY DUP DUP ADD PUSH x MSTORE PUSH x DUP LT ISZERO PUSH x JUMPI	1
PUSH x DUP REVERT EXIT BLOCK	1
JUMPDEST POP PUSH x MLOAD PUSH xfd CODESIZE SUB DUP PUSH xfd DUP CODECOPY DUP DUP ADD PUSH x MSTORE PUSH x DUP LT ISZERO PUSH x JUMPI JUMPDEST DUP ADD SWAP DUP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP POP POP POP DUP DUP DUP DUP PUSH x CALLER PUSH x PUSH x PUSH x EXP DUP SLOAD DUP PUSH xffffffffffffffffffffffffffffffffffffffff MUL NOT AND SWAP DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND MUL OR SWAP SSTORE POP DUP DUP DUP DUP GT ISZERO PUSH x JUMPI	1
PUSH x DUP REVERT EXIT BLOCK	1
JUMPDEST DUP ADD SWAP DUP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP DUP MLOAD SWAP PUSH x ADD SWAP SWAP SWAP SWAP POP POP POP DUP DUP DUP DUP PUSH x CALLER PUSH x PUSH x PUSH x EXP DUP SLOAD DUP PUSH xffffffffffffffffffffffffffffffffffffffff MUL NOT AND SWAP DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND MUL OR SWAP SSTORE POP DUP DUP DUP DUP GT ISZERO PUSH x JUMPI JUMPDEST PUSH x DUP GT ISZERO PUSH xd JUMPI	1
PUSH x MLOAD PUSH xca DUP MSTORE PUSH x ADD DUP DUP PUSH x ADD DUP DUP SUB DUP MSTORE PUSH x DUP MSTORE PUSH x ADD DUP PUSH xdecdfdcd DUP MSTORE POP PUSH x ADD SWAP POP POP PUSH x MLOAD DUP SWAP SUB SWAP REVERT EXIT BLOCK	1
JUMPDEST PUSH x DUP GT ISZERO PUSH xd JUMPI JUMPDEST DUP DUP PUSH x PUSH xffffffffffffffffffffffffffffffffffffffff AND DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND EQ ISZERO PUSH xd JUMPI	1
PUSH x MLOAD PUSH xca DUP MSTORE PUSH x ADD DUP DUP PUSH x ADD DUP DUP SUB DUP MSTORE PUSH x DUP MSTORE PUSH x ADD DUP PUSH xddfeff DUP MSTORE POP PUSH x ADD SWAP POP POP PUSH x MLOAD DUP SWAP SUB SWAP REVERT EXIT BLOCK	1
JUMPDEST DUP DUP PUSH x PUSH xffffffffffffffffffffffffffffffffffffffff AND DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND EQ ISZERO PUSH xd JUMPI JUMPDEST DUP PUSH xffff AND DUP PUSH xffffffffffffffffffffffffffffffffffffffff AND PUSH xeb PUSH x MLOAD DUP PUSH xffffffff AND PUSH xe SHL DUP MSTORE PUSH x ADD PUSH x PUSH x MLOAD DUP DUP SUB DUP DUP DUP EXTCODESIZE ISZERO DUP ISZERO PUSH xc JUMPI	1
PUSH x MLOAD PUSH xca DUP MSTORE PUSH x ADD DUP DUP PUSH x ADD DUP DUP SUB DUP MSTORE PUSH xb DUP MSTORE PUSH x ADD DUP PUSH xeccfe DUP MSTORE POP PUSH x ADD SWAP POP POP PUSH x MLOAD DUP SWAP SUB SWAP REVERT EXIT BLOCK	1
